,ReviewID,ProductID,Rating,Review,ReviewDate,ReviewDate_formated_1,ReviewDate_formated_2
0,1,7,3,this product is amazing!,2020-01-01,2020-01-01,2020-01-01
1,2,4,5,"terrible, would not recommend.",2020-02-01,2020-02-01,2020-01-02
2,3,8,3,"IT WORKS OKAY, NOT THE BEST.",2020-03-01,2020-03-01,2020-01-03
3,4,5,1,absolutely love it!,2020-01-04,2020-01-04,2020-01-04
4,5,7,5,not worth the money.,2020-05-01,2020-05-01,2020-01-05
5,6,3,2,"DECENT QUALITY, BUT OVERPRICED.",2020-01-06,2020-01-06,2020-01-06
6,7,7,3,EXCEEDED MY EXPECTATIONS!,2020-01-07,2020-01-07,2020-01-07
7,8,8,1,"poor quality, broke after a week.",2020-01-08,2020-01-08,2020-01-08
8,9,5,2,JUST OKAY.,2020-09-01,2020-09-01,2020-01-09
9,10,4,2,GREAT VALUE FOR THE PRICE!,2020-01-10,2020-01-10,2020-01-10
10,11,8,4,THIS PRODUCT IS AMAZING!,2020-01-11,2020-01-11,2020-01-11
11,12,8,5,"TERRIBLE, WOULD NOT RECOMMEND.",2020-01-12,2020-01-12,2020-01-12
12,13,3,3,"it works okay, not the best.",2020-01-13,2020-01-13,2020-01-13
13,14,6,1,absolutely love it!,2020-01-14,2020-01-14,2020-01-14
14,15,5,4,not worth the money.,2020-01-15,2020-01-15,2020-01-15
15,16,2,5,"DECENT QUALITY, BUT OVERPRICED.",2020-01-16,2020-01-16,2020-01-16
16,17,8,4,EXCEEDED MY EXPECTATIONS!,2020-01-17,2020-01-17,2020-01-17
17,18,6,5,"poor quality, broke after a week.",2020-01-18,2020-01-18,2020-01-18
18,19,2,5,just okay.,2020-01-19,2020-01-19,2020-01-19
19,20,5,3,great value for the price!,2020-01-20,2020-01-20,2020-01-20
20,21,1,5,this product is amazing!,2020-01-21,2020-01-21,2020-01-21
21,22,6,4,"terrible, would not recommend.",2020-01-22,2020-01-22,2020-01-22
22,23,9,5,"it works okay, not the best.",2020-01-23,2020-01-23,2020-01-23
23,24,1,3,absolutely love it!,2020-01-24,2020-01-24,2020-01-24
24,25,3,3,not worth the money.,2020-01-25,2020-01-25,2020-01-25
25,26,7,4,"decent quality, but overpriced.",2020-01-26,2020-01-26,2020-01-26
26,27,4,2,EXCEEDED MY EXPECTATIONS!,2020-01-27,2020-01-27,2020-01-27
27,28,9,2,"poor quality, broke after a week.",2020-01-28,2020-01-28,2020-01-28
28,29,3,5,just okay.,2020-01-29,2020-01-29,2020-01-29
29,30,5,1,great value for the price!,2020-01-30,2020-01-30,2020-01-30
30,31,3,5,this product is amazing!,2020-01-31,2020-01-31,2020-01-31
31,32,7,4,"TERRIBLE, WOULD NOT RECOMMEND.",2020-02-01,2020-02-01,2020-02-01
32,33,5,4,"it works okay, not the best.",2020-02-02,2020-02-02,2020-02-02
33,34,9,4,ABSOLUTELY LOVE IT!,2020-03-02,2020-03-02,2020-02-03
