ReviewID,ProductID,Rating,Review,ReviewDate
1,7,3,this product is amazing!,2020-01-01
2,4,5,"terrible, would not recommend.",2020-02-01
3,8,3,"IT WORKS OKAY, NOT THE BEST.",2020-03-01
4,5,1,absolutely love it!,2020-01-04
5,7,5,not worth the money.,2020-05-01
6,3,2,"DECENT QUALITY, BUT OVERPRICED.",2020-01-06
7,7,3,EXCEEDED MY EXPECTATIONS!,2020-01-07
8,8,1,"poor quality, broke after a week.",2020-01-08
9,5,2,JUST OKAY.,2020-09-01
10,4,2,GREAT VALUE FOR THE PRICE!,2020-01-10
11,8,4,THIS PRODUCT IS AMAZING!,2020-01-11
12,8,5,"TERRIBLE, WOULD NOT RECOMMEND.",2020-01-12
13,3,3,"it works okay, not the best.",2020-01-13
14,6,1,absolutely love it!,2020-01-14
15,5,4,not worth the money.,2020-01-15
16,2,5,"DECENT QUALITY, BUT OVERPRICED.",2020-01-16
17,8,4,EXCEEDED MY EXPECTATIONS!,2020-01-17
18,6,5,"poor quality, broke after a week.",2020-01-18
19,2,5,just okay.,2020-01-19
20,5,3,great value for the price!,2020-01-20
21,1,5,this product is amazing!,2020-01-21
22,6,4,"terrible, would not recommend.",2020-01-22
23,9,5,"it works okay, not the best.",2020-01-23
24,1,3,absolutely love it!,2020-01-24
25,3,3,not worth the money.,2020-01-25
26,7,4,"decent quality, but overpriced.",2020-01-26
27,4,2,EXCEEDED MY EXPECTATIONS!,2020-01-27
28,9,2,"poor quality, broke after a week.",2020-01-28
29,3,5,just okay.,2020-01-29
30,5,1,great value for the price!,2020-01-30
31,3,5,this product is amazing!,2020-01-31
32,7,4,"TERRIBLE, WOULD NOT RECOMMEND.",2020-02-01
33,5,4,"it works okay, not the best.",2020-02-02
34,9,4,ABSOLUTELY LOVE IT!,2020-03-02
35,7,4,NOT WORTH THE MONEY.,2020-04-02
36,2,4,"DECENT QUALITY, BUT OVERPRICED.",2020-05-02
37,4,3,EXCEEDED MY EXPECTATIONS!,2020-02-06
38,9,2,"poor quality, broke after a week.",2020-07-02
39,2,4,just okay.,2020-02-08
40,9,1,great value for the price!,2020-02-09
41,5,1,THIS PRODUCT IS AMAZING!,2020-02-10
42,2,1,"TERRIBLE, WOULD NOT RECOMMEND.",2020-02-11
43,4,1,"IT WORKS OKAY, NOT THE BEST.",2020-02-12
44,7,3,ABSOLUTELY LOVE IT!,2020-02-13
45,8,1,not worth the money.,2020-02-14
46,3,4,"DECENT QUALITY, BUT OVERPRICED.",2020-02-15
47,1,5,exceeded my expectations!,2020-02-16
48,4,1,"poor quality, broke after a week.",2020-02-17
49,2,3,just okay.,2020-02-18
50,8,3,GREAT VALUE FOR THE PRICE!,2020-02-19
51,4,1,this product is amazing!,2020-02-20
52,2,5,"terrible, would not recommend.",2020-02-21
53,6,1,"it works okay, not the best.",2020-02-22
54,6,3,ABSOLUTELY LOVE IT!,2020-02-23
55,4,2,not worth the money.,2020-02-24
56,6,4,"DECENT QUALITY, BUT OVERPRICED.",2020-02-25
57,2,3,EXCEEDED MY EXPECTATIONS!,2020-02-26
58,2,1,"POOR QUALITY, BROKE AFTER A WEEK.",2020-02-27
59,4,4,JUST OKAY.,2020-02-28
60,8,1,great value for the price!,2020-02-29
61,7,1,THIS PRODUCT IS AMAZING!,2020-01-03
62,9,2,"TERRIBLE, WOULD NOT RECOMMEND.",2020-03-02
63,8,4,"it works okay, not the best.",2020-03-03
64,5,4,ABSOLUTELY LOVE IT!,2020-04-03
65,2,2,not worth the money.,2020-03-05
66,5,3,"DECENT QUALITY, BUT OVERPRICED.",2020-03-06
67,8,1,EXCEEDED MY EXPECTATIONS!,2020-07-03
68,9,5,"poor quality, broke after a week.",2020-03-08
69,9,1,JUST OKAY.,2020-03-09
70,1,1,great value for the price!,2020-03-10
71,9,3,this product is amazing!,2020-11-03
72,7,1,"TERRIBLE, WOULD NOT RECOMMEND.",2020-12-03
73,9,2,"IT WORKS OKAY, NOT THE BEST.",2020-03-13
74,8,2,ABSOLUTELY LOVE IT!,2020-03-14
75,1,4,not worth the money.,2020-03-15
76,8,5,"DECENT QUALITY, BUT OVERPRICED.",2020-03-16
77,8,1,EXCEEDED MY EXPECTATIONS!,2020-03-17
78,3,1,"poor quality, broke after a week.",2020-03-18
79,1,3,JUST OKAY.,2020-03-19
80,8,2,GREAT VALUE FOR THE PRICE!,2020-03-20
81,3,5,THIS PRODUCT IS AMAZING!,2020-03-21
82,3,4,"terrible, would not recommend.",2020-03-22
83,1,2,"it works okay, not the best.",2020-03-23
84,5,4,absolutely love it!,2020-03-24
85,7,3,NOT WORTH THE MONEY.,2020-03-25
86,9,3,"decent quality, but overpriced.",2020-03-26
87,7,1,exceeded my expectations!,2020-03-27
88,9,5,"poor quality, broke after a week.",2020-03-28
89,8,4,just okay.,2020-03-29
90,2,2,great value for the price!,2020-03-30
91,1,3,THIS PRODUCT IS AMAZING!,2020-03-31
92,7,1,"terrible, would not recommend.",2020-01-04
93,7,1,"it works okay, not the best.",2020-02-04
94,8,4,ABSOLUTELY LOVE IT!,2020-04-03
95,5,3,NOT WORTH THE MONEY.,2020-04-04
96,3,5,"DECENT QUALITY, BUT OVERPRICED.",2020-05-04
97,8,3,EXCEEDED MY EXPECTATIONS!,2020-06-04
98,6,4,"POOR QUALITY, BROKE AFTER A WEEK.",2020-04-07
99,3,4,JUST OKAY.,2020-04-08
100,1,3,great value for the price!,2020-09-04
